Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_hist,adx,market_conditions_neutral,market_conditions_overbought,market_conditions_oversold,market_conditions_trending,price_direction
98.5,98.81,96.37,96.75,9551800,,,,,,0,0,1,0,
96.75,96.81,93.69,94.81,11105400,,,,,,0,0,1,0,
95.87,95.94,93.5,94.37,10369100,,,,,,0,0,1,0,
94.44,94.44,90.0,91.56,16697600,,,,,,0,0,1,0,
92.75,92.94,90.19,90.25,13737600,,,,,,0,0,1,0,
90.5,93.94,90.5,93.94,8522300,,,,,,0,0,1,0,
95.06,95.5,92.12,93.62,9551200,,,,,,0,0,1,0,
94.62,97.06,94.12,97.0,8680300,,,,,,0,0,1,0,
97.5,97.5,94.87,95.0,7147500,,,,,,0,0,1,0,
96.0,96.25,93.0,95.87,9668400,,,,,,0,0,1,0,
96.0,96.37,93.87,94.06,6259400,,,,,,0,0,1,0,
94.62,95.0,93.0,94.62,8537400,,,,,,0,0,1,0,
94.87,94.87,92.62,93.75,8355100,,,,,,0,0,1,0,
94.0,98.25,93.56,98.0,18720500,,,,,,0,0,1,0,7.388336541952235
99.0,105.12,98.37,103.94,19678400,61.90791652865186,,,,,0,0,1,0,25.21682832877205
105.5,108.44,104.44,107.87,13681600,66.59143221077566,,,,,0,0,1,0,39.65537289174868
108.81,109.87,106.0,106.06,10665200,62.76390808359513,,,,,0,0,1,0,46.755955852688
105.0,105.0,101.81,104.5,9710400,59.585074622274234,,,,,0,0,1,0,47.958882728072396
105.94,106.0,104.12,105.0,3108400,60.27946387299159,,,,,0,0,1,0,46.90978065197235
104.94,104.94,103.37,104.19,5677700,58.525165124242605,,,,,0,0,1,0,46.7394012100733
103.69,104.5,102.12,103.06,5758700,56.073452423587014,,,,,0,0,1,0,44.08014278287457
102.56,104.44,102.25,103.42,5336400,56.695846178856435,,,,,0,0,1,0,43.66262835908326
103.44,106.31,103.37,105.27,6216900,59.84458195090943,,,,,0,0,1,0,41.95728259985484
109.81,112.87,107.94,111.87,14680300,68.61287551622684,,,,,0,0,1,0,45.45038111422622
113.0,116.5,112.5,116.0,9928300,72.63905250443388,,,,,0,0,1,0,48.25589379703327
117.0,119.19,115.44,116.62,11326100,73.19493690575499,,,,,0,0,1,0,49.36223417960077
116.25,121.0,115.5,118.28,8139800,74.67829943915531,,,,,0,0,1,0,48.53624677652871
